"type","ABV","Rating","NReviews","brewery","name","LocationProvince","LocationCity","country","Seasonal","IBU","address","lon","lat"
"Saison / Farmhouse Ale",7.3,65.8,6,"33 acres","of Axel M","British Columbia","Vancouver","Canada","Special",44,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Cider",6.9,61.4,6,"33 acres","of Cid3r","British Columbia","Vancouver","Canada","Special",NA,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Extra Special Bitter",5.6,67.1428571428571,7,"33 acres","of Courage","British Columbia","Vancouver","Canada","Spring",50,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Schwarzbier",5,72.4458333333333,12,"33 acres","of Darkness","British Columbia","Vancouver","Canada",NA,30,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Tripel",9.2,64,8,"33 acres","of Euphoria (fka Vloer)","British Columbia","Vancouver","Canada","Special",30,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"California Common / Steam Beer",4.8,65.2,23,"33 acres","of Life California Common","British Columbia","Vancouver","Canada",NA,40,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Saison / Farmhouse Ale",7.6,65,7,"33 acres","of Merckx","British Columbia","Vancouver","Canada",NA,33,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Imperial India Pale Ale",8,67.6,12,"33 acres","of Nirvana","British Columbia","Vancouver","Canada","Special",70,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Pale Ale",5.3,66.6,25,"33 acres","of Ocean APA","British Columbia","Vancouver","Canada",NA,50,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Ale",5.5,67.9,9,"33 acres","of Schol","British Columbia","Vancouver","Canada","Special",22,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Pilsner",5.5,65.2,6,"33 acres","of Solstice","British Columbia","Vancouver","Canada","Summer",38,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Hefeweizen",5,62.4,17,"33 acres","of Sunshine French-style Wheat Ale","British Columbia","Vancouver","Canada",NA,14,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"California Common / Steam Beer",NA,70.75,15,"33 acres","33 Acres Of Life","British Columbia","Vancouver","Canada",NA,NA,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Pale Ale",NA,72,21,"33 acres","33 Acres Of Ocean","British Columbia","Vancouver","Canada",NA,NA,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Hefeweizen",NA,69.75,12,"33 acres","33 Acres Of Sunshine","British Columbia","Vancouver","Canada",NA,NA,"15 W 8th Ave, Vancouver, BC V5Y 1M8, Canada",-123.1053533,49.2637804
"Sak - Genshu",17,75.4,6,"artisan sakemaker studio","Osake Junmai Ginjo Genshu","British Columbia","Vancouver","Canada",NA,NA,"1339 Railspur Alley, Vancouver, BC, Canada",-123.1338519,49.2701521
"Sak - Genshu",18,67.2,10,"artisan sakemaker studio","Osake Junmai Nama Genshu Sake","British Columbia","Vancouver","Canada",NA,NA,"1339 Railspur Alley, Vancouver, BC, Canada",-123.1338519,49.2701521
"Sak - Nigori",14,73.8,9,"artisan sakemaker studio","Osake Junmai Nama Nigori Sake","British Columbia","Vancouver","Canada",NA,NA,"1339 Railspur Alley, Vancouver, BC, Canada",-123.1338519,49.2701521
"Sak - Junmai",15,69.4,9,"artisan sakemaker studio","Osake Junmai Nama Sake","British Columbia","Vancouver","Canada",NA,NA,"1339 Railspur Alley, Vancouver, BC, Canada",-123.1338519,49.2701521
